Pref.,cases(ave7),deaths(ave7),Td,Rt,K,CFR
Aichi,4.285714285714286,0.42857142857142855,22.039254291004106,1.4196990894514845,0.19760479041916168,0.09999999999999999
Akita,0.42857142857142855,0.0,3.5,1.6406707120152757,0.75,0.0
Aomori,0.8571428571428571,0.0,nan,0.7485495079957005,nan,0.0
Chiba,12.0,0.14285714285714285,3.6276747953257726,0.7769786578362057,0.7375,0.011904761904761904
Ehime,0.2857142857142857,0.0,7.0,2.6918003852647123,0.5,0.0
Fukui,1.5714285714285714,0.0,1.8916670809912381,2.0960731496469838,0.9230769230769231,0.0
Fukuoka,2.2857142857142856,0.0,3.274848402457616,2.0930537409782195,0.7727272727272727,0.0
Fukushima,0.0,0.0,nan,nan,0.0,0.0
Gifu,1.5714285714285712,0.0,3.3810066086117225,1.640670712015276,0.7619047619047619,0.0
Gunma,0.5714285714285714,0.0,9.852308507595277,1.4914153416386176,0.38888888888888884,0.0
Hiroshima,0.14285714285714285,0.0,7.0,4.014592391212534,0.5,0.0
Hokkaido,1.5714285714285712,0.14285714285714285,54.46845997222112,1.3647093553343677,0.08522727272727271,0.09090909090909093
Hyogo,6.0,0.2857142857142857,10.457833679771635,1.1326252107982424,0.3712121212121212,0.047619047619047616
Ibaraki,1.4285714285714284,0.0,2.898505717650461,2.834506572007256,0.8125,0.0
Ishikawa,0.42857142857142855,0.0,11.966579039460182,4.2841221374835365,0.33333333333333337,0.0
Iwate,0.0,0.0,nan,nan,nan,0.0
Kagawa,0.0,0.0,nan,nan,0.0,0.0
Kagoshima,0.14285714285714285,0.0,nan,1.640670712015276,nan,0.0
Kanagawa,5.285714285714285,0.14285714285714285,10.364569344809937,1.886876250210753,0.3738317757009346,0.027027027027027032
Kochi,0.2857142857142857,0.0,20.11937668786643,3.156925177794596,0.2142857142857143,0.0
Kumamoto,0.5714285714285714,0.0,9.498408141997068,1.3359169825354338,0.4,0.0
Kyoto,2.4285714285714284,0.0,5.825401751899964,2.432216370948054,0.5652173913043479,0.0
Mie,0.42857142857142855,0.0,11.966579039460182,1.0,0.33333333333333337,0.0
Miyagi,0.14285714285714285,0.0,7.0,7.881760208515726,0.5,0.0
Miyazaki,0.0,0.0,nan,nan,0.0,0.0
Nagano,0.42857142857142855,0.0,4.946865368279966,1.0,0.625,0.0
Nagasaki,0.2857142857142857,0.0,nan,2.1917998669297094,nan,0.0
Nara,0.8571428571428571,0.0,6.153827090507419,1.737206722832498,0.5454545454545454,0.0
Niigata,1.2857142857142856,0.0,14.148139745475218,0.2081604449527199,0.29032258064516125,0.0
Oita,1.714285714285714,0.0,7.7737671492262015,0.37149857228423716,0.4642857142857143,0.0
Okayama,0.2857142857142857,0.0,4.416508275000202,2.446921470476737,0.6666666666666667,0.0
Okinawa,0.42857142857142855,0.0,4.946865368279966,0.4562460355474005,0.625,0.0
Osaka,11.285714285714285,0.0,7.890167340685401,1.793629813343567,0.4593301435406698,0.0
Saga,0.0,0.0,nan,nan,0.0,0.0
Saitama,4.714285714285714,0.2857142857142857,7.92584726739831,1.7110959258815874,0.45783132530120485,0.0606060606060606
Shiga,0.2857142857142857,0.0,11.966579039460182,3.379329134040103,0.33333333333333337,0.0
Shimane,0.0,0.0,nan,nan,nan,0.0
Shizuoka,0.14285714285714285,0.0,16.865945877572468,3.5960218482705533,0.25,0.0
Tochigi,1.0,0.0,4.416508275000202,0.4086767851218244,0.6666666666666667,0.0
Tokushima,0.14285714285714285,0.0,nan,1.640670712015276,nan,0.0
Tokyo,33.714285714285715,0.14285714285714285,4.0608189894550755,1.6132674566160332,0.6972477064220184,0.00423728813559322
Tottori,0.0,0.0,nan,nan,nan,0.00423728813559322
Toyama,0.0,0.0,nan,nan,nan,0.00423728813559322
Wakayama,0.2857142857142857,0.0,38.765647373545136,1.640670712015276,0.11764705882352944,0.0
Yamagata,0.0,0.0,nan,nan,nan,0.0
Yamaguchi,0.5714285714285714,0.0,4.416508275000202,0.3714985722842371,0.6666666666666667,0.0
Yamanashi,0.2857142857142857,0.0,7.0,2.446921470476737,0.5,0.0
Zenkoku,100.42857142857142,1.5714285714285714,7.391141532771033,1.6113931801625319,0.4813186813186813,0.015647226173541966
