Pref.,cases(ave7),deaths(ave7),Td,Rt,K,CFR
Aichi,2.4285714285714284,0.42857142857142855,33.906370783550955,1.709041295570143,0.1333333333333333,0.17647058823529413
Akita,0.0,0.0,4.416508275000202,nan,0.6666666666666667,0.17647058823529413
Aomori,0.5714285714285714,0.0,nan,1.1727931963588538,nan,0.0
Chiba,2.142857142857143,0.0,11.26328385519884,4.442614716443389,0.35,0.0
Ehime,0.0,0.0,11.966579039460182,nan,0.33333333333333337,0.0
Fukui,0.5714285714285714,0.0,2.3333333333333335,3.4883486837467066,0.875,0.0
Fukuoka,0.8571428571428571,0.0,5.542208484319904,4.5470285533661166,0.5833333333333333,0.0
Fukushima,0.0,0.0,nan,nan,0.0,0.0
Gifu,1.5714285714285712,0.0,3.1497587612319657,0.7965487463621438,0.7857142857142857,0.0
Gunma,0.42857142857142855,0.14285714285714285,20.11937668786643,1.6406707120152757,0.2142857142857143,0.3333333333333333
Hiroshima,0.2857142857142857,0.0,7.0,1.0,0.5,0.0
Hokkaido,1.4285714285714284,0.14285714285714285,71.6503410145461,1.460852514471149,0.06547619047619047,0.1
Hyogo,1.5714285714285712,0.2857142857142857,28.697276920186482,4.014592391212534,0.15555555555555556,0.18181818181818185
Ibaraki,0.8571428571428571,0.0,4.416508275000202,2.1041164175444376,0.6666666666666667,0.0
Ishikawa,0.0,0.0,nan,nan,0.0,0.0
Iwate,0.0,0.0,nan,nan,nan,0.0
Kagawa,0.0,0.0,nan,nan,0.0,0.0
Kagoshima,0.14285714285714285,0.0,nan,1.640670712015276,nan,0.0
Kanagawa,3.428571428571428,0.0,11.638528129128815,2.0373842252068153,0.34090909090909094,0.0
Kochi,0.0,0.0,55.76317065408467,nan,0.08333333333333337,0.0
Kumamoto,0.14285714285714285,0.0,11.966579039460182,3.596021848270553,0.33333333333333337,0.0
Kyoto,1.5714285714285712,0.0,8.925482699883903,2.8644066951307887,0.4193548387096774,0.0
Mie,0.0,0.0,nan,nan,0.0,0.0
Miyagi,0.14285714285714285,0.0,7.0,5.179474679231212,0.5,0.0
Miyazaki,0.0,0.0,nan,nan,0.0,0.0
Nagano,0.14285714285714285,0.0,9.498408141997068,2.6918003852647123,0.4,0.0
Nagasaki,0.14285714285714285,0.0,nan,2.6918003852647123,nan,0.0
Nara,0.14285714285714285,0.0,21.743986036537727,6.5866241569417765,0.19999999999999996,0.0
Niigata,0.9999999999999999,0.0,14.07036138968577,1.0000000000000002,0.29166666666666663,0.0
Oita,1.5714285714285712,0.0,4.658900774381579,1.1267353113313172,0.6470588235294117,0.0
Okayama,0.14285714285714285,0.0,nan,3.156925177794596,nan,0.0
Okinawa,0.14285714285714285,0.0,7.0,2.1917998669297094,0.5,0.0
Osaka,4.285714285714286,0.14285714285714285,12.990240395809876,3.27629302551194,0.3116883116883117,0.03333333333333333
Saga,0.0,0.0,nan,nan,0.0,0.03333333333333333
Saitama,3.142857142857143,0.14285714285714285,8.788817946685148,1.7198171260492618,0.4242424242424242,0.045454545454545456
Shiga,0.2857142857142857,0.0,11.966579039460182,1.0,0.33333333333333337,0.0
Shimane,0.0,0.0,nan,nan,nan,0.0
Shizuoka,0.0,0.0,nan,nan,0.0,0.0
Tochigi,1.0,0.0,3.734390677922687,0.5459582576122296,0.7272727272727273,0.0
Tokushima,0.0,0.0,nan,nan,nan,0.0
Tokyo,14.857142857142856,0.2857142857142857,7.918247649876708,2.9056836030977795,0.4581497797356828,0.019230769230769232
Tottori,0.0,0.0,nan,nan,nan,0.019230769230769232
Toyama,0.0,0.0,nan,nan,nan,0.019230769230769232
Wakayama,0.0,0.0,nan,nan,0.0,0.019230769230769232
Yamagata,0.0,0.0,nan,nan,nan,0.019230769230769232
Yamaguchi,0.42857142857142855,0.0,3.5,0.7485495079957005,0.75,0.0
Yamanashi,0.2857142857142857,0.0,7.0,1.924167448516752,0.5,0.0
Zenkoku,45.714285714285715,1.5714285714285712,13.40130563445942,2.7068048839138825,0.30375699440447645,0.034374999999999996
