2020/04/10 01:42:45 UTC
"
North America
","500,512",+292,"17,686",+20,"32,294","450,532","10,968",,,,,North America
"
Europe
","778,852",,"65,818",,"185,320","527,714","30,359",,,,,Europe
"
Asia
","263,602",+73,"9,902",+5,"129,238","124,462","6,422",,,,,Asia
"
South America
","39,631",+26,"1,617",+2,"4,129","33,885","1,128",,,,,South America
"
Oceania
","7,521",+44,54,+2,"3,361","4,106",85,,,,,Australia/Oceania
"
Africa
","12,880",,632,,"1,694","10,554",155,,,,,Africa
"

",721,,13,,619,89,10,,,,,
World,"1,603,719",+435,"95,722",+29,"356,655","1,151,342","49,127",206,12.3,,,All
USA,"468,566",,"16,691 ",,"25,928","425,947","10,011","1,416",50,"2,353,096","7,109",North America
Spain,"153,222",,"15,447 ",,"52,165","85,610","7,371","3,277",330,"355,000","7,593",Europe
Italy,"143,626",,"18,279 ",,"28,470","96,877","3,605","2,375",302,"853,369","14,114",Europe
Germany,"118,235",,"2,607 ",,"52,407","63,221","4,895","1,411",31,"1,317,887","15,730",Europe
France,"117,749",,"12,210 ",,"23,206","82,333","7,066","1,804",187,"333,807","5,114",Europe
Iran,"66,220",,"4,110 ",,"32,309","29,801","3,918",788,49,"231,393","2,755",Asia
UK,"65,077",,"7,978 ",,135,"56,964","1,559",959,118,"298,169","4,392",Europe
Turkey,"42,282",,908 ,,"2,142","39,232","1,552",501,11,"276,338","3,277",Asia
Belgium,"24,983",,"2,523  ",,"5,164","17,296","1,285","2,156",218,"84,248","7,269",Europe
Switzerland,"24,051",,948 ,,"10,600","12,503",386,"2,779",110,"178,500","20,625",Europe
Netherlands,"21,762",,"2,396 ",,250,"19,116","1,424","1,270",140,"101,534","5,926",Europe
Canada,"20,765",,509 ,,"5,311","14,945",518,550,13,"370,315","9,812",North America
Brazil,"18,145",,954 ,,173,"17,018",296,85,4,"62,985",296,South America
Portugal,"13,956",,409 ,,205,"13,342",241,"1,369",40,"140,368","13,766",Europe
Austria,"13,244",,295 ,,"5,240","7,709",266,"1,471",33,"126,287","14,022",Europe
S. Korea,"10,450",+27,208 ,+4,"7,117","3,125",55,204,4,"477,304","9,310",Asia
Russia,"10,131",,76 ,,698,"9,357",8,69,0.5,"1,004,719","6,885",Europe
Israel,"9,968",,86 ,,"1,011","8,871",166,"1,152",10,"117,339","13,557",Asia
Sweden,"9,141",,793 ,,205,"8,143",719,905,79,"54,700","5,416",Europe
India,"6,725",,227 ,,635,"5,863",,5,0.2,"177,584",129,Asia
Ireland,"6,574",,263 ,,25,"6,286",165,"1,331",53,"53,000","10,734",Europe
Norway,"6,219",,108 ,,32,"6,079",78,"1,147",20,"121,034","22,326",Europe
Australia,"6,152",,52 ,+1,"2,987","3,113",81,241,2,"330,134","12,946",Australia/Oceania
Chile,"5,972",,57 ,,"1,274","4,641",360,312,3,"68,353","3,576",South America
Denmark,"5,635",,237 ,,"1,736","3,662",120,973,41,"64,002","11,050",Europe
Poland,"5,575",,174 ,,284,"5,117",160,147,5,"107,597","2,843",Europe
Czechia,"5,569",,112 ,,301,"5,156",96,520,10,"106,845","9,977",Europe
Peru,"5,256",,138 ,,"1,438","3,680",124,159,4,"48,465","1,470",South America
Romania,"5,202",,248 ,,647,"4,307",178,270,13,"51,802","2,693",Europe
Japan,"4,979",,99 ,,685,"4,195",109,39,0.8,"61,498",486,Asia
Ecuador,"4,965",,272 ,,339,"4,354",139,281,15,"19,102","1,083",South America
Pakistan,"4,489",,65 ,,572,"3,852",31,20,0.3,"44,896",203,Asia
Malaysia,"4,228",,67 ,,"1,608","2,553",72,131,2,"69,675","2,153",Asia
Philippines,"4,076",,203 ,,124,"3,749",1,37,2,"24,500",224,Asia
Mexico,"3,441",+260,194 ,+20,633,"2,614",89,27,2,"25,410",197,North America
Indonesia,"3,293",,280 ,,252,"2,761",,12,1,"14,354",52,Asia
Saudi Arabia,"3,287",,44 ,,666,"2,577",41,94,1,"115,585","3,320",Asia
Luxembourg,"3,115",,52 ,,500,"2,563",30,"4,976",83,"27,521","43,965",Europe
UAE,"2,990",,14 ,,268,"2,708",1,302,1,"593,095","59,967",Asia
Serbia,"2,867",,66 ,,118,"2,683",127,328,8,"12,347","1,413",Europe
Panama,"2,752",,66 ,,16,"2,670",107,638,15,"11,776","2,729",North America
Finland,"2,605",,42 ,,300,"2,263",82,470,8,"39,000","7,039",Europe
Thailand,"2,423",,32 ,,940,"1,451",61,35,0.5,"71,860","1,030",Asia
Qatar,"2,376",,6 ,,206,"2,164",37,825,2,"43,144","14,975",Asia
Dominican Republic,"2,349",,118 ,,80,"2,151",147,217,11,"7,151",659,North America
Colombia,"2,223",,69 ,,174,"1,980",85,44,1,"34,910",686,South America
Greece,"1,955",,87 ,,269,"1,599",79,188,8,"33,634","3,227",Europe
South Africa,"1,934",,18 ,,95,"1,821",7,33,0.3,"68,874","1,161",Africa
Singapore,"1,910",,7 ,,460,"1,443",29,326,1,"65,000","11,110",Asia
Argentina,"1,894",,79 ,,365,"1,450",96,42,2,"14,850",329,South America
Ukraine,"1,892",,57 ,,45,"1,790",33,43,1,"20,608",471,Europe
Egypt,"1,699",,118 ,,348,"1,233",,17,1,"25,000",244,Africa
Algeria,"1,666",,235 ,,347,"1,084",46,38,5,"3,359",77,Africa
Iceland,"1,648",,6 ,,688,954,11,"4,829",18,"32,663","95,718",Europe
Belarus,"1,486",,16 ,,139,"1,331",55,157,2,"49,000","5,186",Europe
Croatia,"1,407",,20 ,,219,"1,168",34,343,5,"13,680","3,332",Europe
Morocco,"1,374",,97 ,,109,"1,168",1,37,3,"6,116",166,Africa
Moldova,"1,289",,29 ,,50,"1,210",80,320,7,"5,108","1,266",Europe
New Zealand,"1,283",+44,2 ,+1,373,908,4,266,0.4,"51,165","10,610",Australia/Oceania
Iraq,"1,232",,69 ,,496,667,,31,2,"30,466",757,Asia
Estonia,"1,207",,24 ,,83,"1,100",9,910,18,"26,416","19,914",Europe
Slovenia,"1,124",,43 ,,128,953,34,541,21,"31,813","15,303",Europe
Hungary,980,,66 ,,96,818,17,101,7,"27,826","2,880",Europe
Hong Kong,974,,4 ,,293,677,14,130,0.5,"96,709","12,900",Asia
Lithuania,955,,16 ,,8,931,21,351,6,"32,809","12,052",Europe
Azerbaijan,926,,9 ,,101,816,27,91,0.9,"57,371","5,658",Asia
Armenia,921,,10 ,,138,773,30,311,3,"5,823","1,965",Asia
Kuwait,910,,1 ,,111,798,22,213,0.2,,,Asia
Bahrain,887,,5 ,,519,363,3,521,3,"55,096","32,379",Asia
Bosnia and Herzegovina,858,,35 ,,101,722,4,262,11,"6,911","2,106",Europe
Cameroon,803,,12 ,,61,730,,30,0.5,,,Africa
Kazakhstan,781,,8 ,,60,713,21,42,0.4,"59,371","3,162",Asia
Diamond Princess,712,,11 ,,619,82,10,,,,,
Slovakia,701,,2 ,,23,676,5,128,0.4,"21,371","3,914",Europe
North Macedonia,663,,30 ,,37,596,15,318,14,"6,571","3,154",Europe
Tunisia,643,,25 ,,25,593,78,54,2,"9,570",810,Africa
Bulgaria,618,,24 ,,48,546,32,89,3,"15,899","2,288",Europe
Latvia,589,,3 ,,16,570,3,312,2,"25,458","13,497",Europe
Andorra,583,,25 ,,58,500,17,"7,545",324,"1,673","21,653",Europe
Lebanon,582,,19 ,,67,496,29,85,3,"12,524","1,835",Asia
Uzbekistan,582,,3 ,,38,541,8,17,0.09,"70,000","2,091",Asia
Cyprus,564,,10 ,,53,501,13,467,8,"14,273","11,822",Asia
Costa Rica,539,,3 ,,30,506,13,106,0.6,"6,298","1,236",North America
Cuba,515,,15 ,,28,472,15,45,1,"9,410",831,North America
Afghanistan,484,,15 ,,32,437,,12,0.4,,,Asia
Uruguay,473,+17,7 ,,206,260,13,136,2,"6,856","1,974",South America
Oman,457,,3 ,,109,345,3,89,0.6,,,Asia
Ivory Coast,444,,3 ,,52,389,,17,0.1,,,Africa
Burkina Faso,443,,24 ,,146,273,,21,1,,,Africa
Niger,410,,11 ,,40,359,,17,0.5,"4,251",176,Africa
Albania,409,,23 ,,165,221,7,142,8,"3,223","1,120",Europe
Taiwan,380,,5 ,,80,295,,16,0.2,"42,315","1,777",Asia
Ghana,378,,6 ,,3,369,2,12,0.2,"12,046",388,Africa
Jordan,372,,7 ,,161,204,5,36,0.7,"17,000","1,666",Asia
Réunion,362,, ,,40,322,4,404,,,,Africa
Channel Islands,361,,8 ,,40,313,,"2,076",46,"1,157","6,655",Europe
Honduras,343,,23 ,,6,314,10,35,2,,,North America
Malta,337,,2 ,,16,319,4,763,5,"13,732","31,100",Europe
San Marino,333,,34 ,,49,250,14,"9,814","1,002",846,"24,933",Europe
