20200518 09:18:58 JST
都道府県,2020/05/11,2020/05/18,Td,K
愛媛県,48.0,70.0,12.860,0.314
栃木県,54.0,60.0,46.052,0.100
神奈川県,1158.0,1251.0,62.810,0.074
北海道,934.0,999.0,72.119,0.065
佐賀県,45.0,47.0,111.579,0.043
東京都,4846.0,5050.0,117.669,0.040
富山県,216.0,225.0,118.858,0.040
岡山県,24.0,25.0,118.858,0.040
全国,15432.0,15963.0,143.423,0.033
石川県,277.0,286.0,151.748,0.031
京都府,347.0,358.0,155.473,0.031
長野県,74.0,76.0,181.940,0.026
愛知県,491.0,503.0,200.945,0.024
埼玉県,962.0,984.0,214.583,0.022
千葉県,879.0,898.0,226.888,0.021
大阪府,1732.0,1768.0,235.854,0.020
滋賀県,97.0,99.0,237.741,0.020
山梨県,56.0,57.0,274.133,0.018
和歌山県,62.0,63.0,303.245,0.016
兵庫県,688.0,698.0,336.240,0.014
新潟県,82.0,83.0,400.288,0.012
福岡県,653.0,657.0,794.517,0.006
青森県,27.0,27.0,1000,0.000
岩手県,0.0,0.0,1000,0
宮城県,88.0,88.0,1000,0.000
秋田県,16.0,16.0,1000,0.000
山形県,69.0,69.0,1000,0.000
福島県,81.0,81.0,1000,0.000
茨城県,168.0,168.0,1000,0.000
群馬県,147.0,147.0,1000,0.000
福井県,122.0,122.0,1000,0.000
岐阜県,150.0,150.0,1000,0.000
静岡県,73.0,73.0,1000,0.000
三重県,45.0,45.0,1000,0.000
奈良県,90.0,90.0,1000,0.000
鳥取県,3.0,3.0,1000,0.000
島根県,24.0,24.0,1000,0.000
広島県,165.0,165.0,1000,0.000
山口県,37.0,37.0,1000,0.000
徳島県,5.0,5.0,1000,0.000
香川県,28.0,28.0,1000,0.000
高知県,74.0,74.0,1000,0.000
長崎県,17.0,17.0,1000,0.000
熊本県,48.0,48.0,1000,0.000
大分県,60.0,60.0,1000,0.000
宮崎県,17.0,17.0,1000,0.000
鹿児島県,11.0,10.0,1000,-0.100
沖縄県,142.0,142.0,1000,0.000
