20200505 06:09:34 JST
都道府県,2020/04/28,2020/05/05,Td
北海道,615.0,847.0,15.159
佐賀県,36.0,44.0,24.179
富山県,177.0,212.0,26.891
青森県,22.0,26.0,29.045
東京都,3922.0,4582.0,31.196
静岡県,63.0,73.0,32.934
石川県,229.0,264.0,34.115
神奈川県,959.0,1101.0,35.138
奈良県,76.0,87.0,35.894
福島県,69.0,78.0,39.575
山口県,31.0,35.0,39.980
全国,13084.0,14747.0,40.552
京都府,294.0,331.0,40.932
大阪府,1493.0,1669.0,43.541
広島県,145.0,162.0,43.766
新潟県,69.0,77.0,44.230
埼玉県,806.0,888.0,50.079
山梨県,51.0,56.0,51.879
島根県,22.0,24.0,55.763
福岡県,606.0,648.0,72.407
和歌山県,58.0,62.0,72.753
沖縄県,133.0,142.0,74.102
兵庫県,627.0,667.0,78.457
長崎県,16.0,17.0,80.034
長野県,66.0,70.0,82.461
千葉県,786.0,828.0,93.207
岡山県,22.0,23.0,109.153
熊本県,45.0,47.0,111.579
栃木県,52.0,54.0,128.564
群馬県,141.0,146.0,139.239
宮城県,85.0,88.0,139.886
愛知県,476.0,492.0,146.761
山形県,66.0,68.0,162.531
岐阜県,146.0,150.0,179.514
茨城県,161.0,165.0,197.710
滋賀県,94.0,96.0,230.463
愛媛県,47.0,48.0,230.463
高知県,73.0,74.0,356.619
福井県,121.0,122.0,589.518
岩手県,0.0,0.0,1000
秋田県,16.0,16.0,1000
三重県,45.0,45.0,1000
鳥取県,3.0,3.0,1000
徳島県,5.0,5.0,1000
香川県,28.0,28.0,1000
大分県,60.0,60.0,1000
宮崎県,17.0,17.0,1000
鹿児島県,10.0,10.0,1000
