20200521 04:38:19 JST
都道府県,2020/05/14,2020/05/21,Td,K
愛媛県,48.0,74.0,11.209,0.351
栃木県,56.0,61.0,56.734,0.082
神奈川県,1193.0,1284.0,66.006,0.071
北海道,966.0,1015.0,98.060,0.048
佐賀県,45.0,47.0,111.579,0.043
山梨県,56.0,58.0,138.269,0.034
富山県,221.0,227.0,181.132,0.026
石川県,283.0,290.0,198.577,0.024
全国,15705.0,16063.0,215.269,0.022
愛知県,495.0,506.0,220.758,0.022
埼玉県,970.0,991.0,226.535,0.021
滋賀県,97.0,99.0,237.741,0.020
京都府,352.0,358.0,287.072,0.017
千葉県,885.0,900.0,288.689,0.017
東京都,4987.0,5070.0,293.950,0.016
長野県,75.0,76.0,366.323,0.013
新潟県,82.0,83.0,400.288,0.012
大阪府,1750.0,1771.0,406.757,0.012
兵庫県,694.0,699.0,675.885,0.007
群馬県,147.0,148.0,715.672,0.007
広島県,165.0,166.0,803.009,0.006
青森県,27.0,27.0,1000,0.000
岩手県,0.0,0.0,1000,0
宮城県,88.0,88.0,1000,0.000
秋田県,16.0,16.0,1000,0.000
山形県,69.0,69.0,1000,0.000
福島県,81.0,81.0,1000,0.000
茨城県,168.0,168.0,1000,0.000
福井県,122.0,122.0,1000,0.000
岐阜県,150.0,150.0,1000,0.000
静岡県,73.0,73.0,1000,0.000
三重県,45.0,45.0,1000,0.000
奈良県,90.0,90.0,1000,0.000
和歌山県,63.0,63.0,1000,0.000
鳥取県,3.0,3.0,1000,0.000
島根県,24.0,24.0,1000,0.000
岡山県,25.0,25.0,1000,0.000
山口県,37.0,37.0,1000,0.000
徳島県,5.0,5.0,1000,0.000
香川県,28.0,28.0,1000,0.000
高知県,74.0,74.0,1000,0.000
長崎県,17.0,17.0,1000,0.000
熊本県,48.0,48.0,1000,0.000
大分県,60.0,60.0,1000,0.000
宮崎県,17.0,17.0,1000,0.000
鹿児島県,11.0,10.0,1000,-0.100
沖縄県,142.0,142.0,1000,0.000
福岡県,655.0,658.0,1061.784,0.005
