20200501 05:33:37 JST
都道府県,2020/04/24,2020/05/01,Td
佐賀県,17.0,38.0,6.032
富山県,115.0,190.0,9.664
北海道,473.0,726.0,11.324
島根県,16.0,23.0,13.370
石川県,190.0,250.0,17.680
新潟県,58.0,75.0,18.876
静岡県,53.0,68.0,19.469
和歌山県,47.0,60.0,19.869
滋賀県,76.0,96.0,20.769
東京都,3320.0,4120.0,22.475
埼玉県,681.0,843.0,22.736
神奈川県,816.0,1002.0,23.629
長野県,54.0,66.0,24.179
全国,11350.0,13781.0,25.001
岡山県,19.0,23.0,25.396
京都府,264.0,316.0,26.987
福岡県,539.0,639.0,28.510
大阪府,1351.0,1599.0,28.790
青森県,22.0,26.0,29.045
兵庫県,546.0,642.0,29.956
愛知県,422.0,486.0,34.362
熊本県,41.0,47.0,35.526
千葉県,704.0,806.0,35.860
沖縄県,125.0,141.0,40.284
福島県,64.0,72.0,41.195
奈良県,73.0,82.0,41.734
群馬県,131.0,146.0,44.757
茨城県,146.0,162.0,46.659
広島県,138.0,153.0,47.023
三重県,41.0,45.0,52.122
香川県,26.0,28.0,65.472
高知県,69.0,74.0,69.356
山形県,64.0,68.0,80.034
栃木県,51.0,54.0,84.887
宮城県,84.0,88.0,104.300
岐阜県,140.0,146.0,115.623
山梨県,50.0,52.0,123.711
福井県,118.0,122.0,145.547
山口県,31.0,32.0,152.826
