pomber(GitHub) country name,worldmeters country name,iso3
Afghanistan,Afghanistan,AFG
Albania,Albania,ALB
Algeria,Algeria,DZA
Andorra,Andorra,AND
Angola,Angola,AGO
Antigua and Barbuda,Antigua and Barbuda,ATG
Argentina,Argentina,ARG
Armenia,Armenia,ARG
Australia,Australia,AUS
Austria,Austria,ABW
Azerbaijan,Azerbaijan,AUS
Bahamas,Bahamas,BHS
Bahrain,Bahrain,BHR
Bangladesh,Bangladesh,BGD
Barbados,Barbados,BRB
Belarus,Belarus,BLR
Belgium,Belgium,BEL
Belize,Belize,BLZ
Benin,Benin,BEN
Bhutan,Bhutan,BTN
Bolivia,Bolivia,BOL
Bosnia and Herzegovina,Bosnia and Herzegovina,BIH
Botswana,Botswana,BWA
Brazil,Brazil,BRA
Brunei,Brunei,BRN
Bulgaria,Bulgaria,BGR
Burkina Faso,Burkina Faso,BFA
Burma,Myanmar,MMR
Burundi,Burundi,BDI
Cabo Verde,Cabo Verde,CPV
Cambodia,Cambodia,KHM
Cameroon,Cameroon,CMR
Canada,Canada,CAN
Central African Republic,CAR,CAF
Chad,Chad,TCD
Chile,Chile,CHL
China,China,CHN
Colombia,Colombia,COL
Comoros,Comoros,COM
Congo (Brazzaville),,
Congo (Kinshasa),Congo,COG
Costa Rica,Costa Rica,CRI
Cote d'Ivoire,Ivory Coast,CIV
Croatia,Croatia,HRV
Cuba,Cuba,CUB
Cyprus,Cyprus,CYP
Czechia,Czechia,CZE
Denmark,Denmark,DNK
Djibouti,Djibouti,DJI
Dominica,Dominica,DMA
Dominican Republic,Dominican Republic,DOM
Ecuador,Ecuador,ECU
Egypt,Egypt,EGY
El Salvador,El Salvador,SLV
Equatorial Guinea,Equatorial Guinea,GNQ
Eritrea,Eritrea,ERI
Estonia,Estonia,EST
Eswatini,Eswatini,SWZ
Ethiopia,Ethiopia,ETH
Fiji,Fiji,FJI
Finland,Finland,FIN
France,France,FRA
Gabon,Gabon,GAB
Gambia,Gambia,GMB
Georgia,Georgia,GEO
Germany,Germany,DEU
Ghana,Ghana,GHA
Greece,Greece,GRC
Grenada,Grenada,GRD
Guatemala,Guatemala,GTM
Guinea-Bissau,Guinea-Bissau,GNB
Guinea,Guinea,GIN
Guyana,Guyana,GUY
Haiti,Haiti,HTI
Holy See,Vatican City,VAT
Honduras,Honduras,HND
Hungary,Hungary,HUN
Iceland,Iceland,ISL
India,India,IND
Indonesia,Indonesia,IDN
Iran,Iran,IRN
Iraq,Iraq,IRQ
Ireland,Ireland,IRL
Israel,Israel,ISR
Italy,Italy,ITA
Jamaica,Jamaica,JAM
Japan,Japan,JPN
Jordan,Jordan,JOR
Kazakhstan,Kazakhstan,KAZ
Kenya,Kenya,KEN
"Korea, South",S. Korea,KOR
Kosovo,Kosovo,RKS
Kuwait,Kuwait,KWT
Kyrgyzstan,Kyrgyzstan,KGZ
Laos,Laos,LAO
Latvia,Latvia,LVA
Lebanon,Lebanon,LBN
Lesotho,Lesotho,LSO
Liberia,Liberia,LBR
Libya,Libya,LBY
Liechtenstein,Liechtenstein,LIE
Lithuania,Lithuania,LTU
Luxembourg,Luxembourg,LUX
Madagascar,Madagascar,MDG
Malawi,Malawi,MWI
Malaysia,Malaysia,MYS
Maldives,Maldives,MDV
Mali,Mali,MLI
Malta,Malta,MLT
Mauritania,Mauritania,MRT
Mauritius,Mauritius,MUS
Mexico,Mexico,MEX
Moldova,Moldova,MDA
Monaco,Monaco,MCO
Mongolia,Mongolia,MNG
Montenegro,Montenegro,MNE
Morocco,Morocco,MAR
Mozambique,Mozambique,MOZ
Namibia,Namibia,NAM
Nepal,Nepal,NPL
Netherlands,Netherlands,NLD
New Zealand,New Zealand,NZL
Nicaragua,Nicaragua,NIC
