20200503 11:49:47 JST
都道府県,2020/04/26,2020/05/03,Td
岩手県,0.0,0.0,0
秋田県,16.0,16.0,0
長野県,67.0,66.0,0
三重県,45.0,45.0,0
鳥取県,3.0,3.0,0
徳島県,5.0,5.0,0
香川県,28.0,28.0,0
愛媛県,47.0,47.0,0
大分県,60.0,60.0,0
宮崎県,17.0,17.0,0
鹿児島県,10.0,10.0,0
島根県,16.0,23.0,13.370
北海道,562.0,790.0,14.248
佐賀県,32.0,42.0,17.843
静岡県,59.0,73.0,22.788
富山県,163.0,201.0,23.154
和歌山県,52.0,62.0,27.585
新潟県,65.0,77.0,28.639
青森県,22.0,26.0,29.045
東京都,3747.0,4331.0,33.499
岡山県,20.0,23.0,34.716
石川県,222.0,254.0,36.033
神奈川県,912.0,1042.0,36.411
大阪府,1448.0,1641.0,38.778
全国,12590.0,14235.0,39.511
京都府,286.0,323.0,39.882
福島県,66.0,74.0,42.409
奈良県,76.0,85.0,43.353
埼玉県,767.0,857.0,43.731
福岡県,584.0,645.0,48.838
広島県,142.0,156.0,51.601
山口県,31.0,34.0,52.526
熊本県,43.0,47.0,54.549
兵庫県,605.0,650.0,67.630
沖縄県,133.0,142.0,74.102
千葉県,768.0,816.0,80.034
長崎県,16.0,17.0,80.034
山梨県,51.0,54.0,84.887
茨城県,157.0,165.0,97.627
宮城県,84.0,88.0,104.300
群馬県,140.0,146.0,115.623
高知県,71.0,74.0,117.241
愛知県,474.0,491.0,137.698
滋賀県,93.0,96.0,152.826
山形県,66.0,68.0,162.531
岐阜県,146.0,149.0,238.550
栃木県,53.0,54.0,259.576
福井県,120.0,122.0,293.541
