20200523 05:51:58 JST
都道府県,2020/05/16,2020/05/23,Td,K
栃木県,58.0,64.0,49.289,0.094
愛媛県,70.0,75.0,70.327,0.067
山梨県,57.0,60.0,94.594,0.050
神奈川県,1251.0,1315.0,97.248,0.049
北海道,989.0,1019.0,162.369,0.029
石川県,285.0,292.0,199.963,0.024
佐賀県,46.0,47.0,225.611,0.021
東京都,5036.0,5133.0,254.324,0.019
埼玉県,979.0,997.0,266.315,0.018
全国,15917.0,16190.0,285.312,0.017
千葉県,890.0,904.0,310.870,0.015
静岡県,73.0,74.0,356.619,0.014
富山県,224.0,227.0,364.706,0.013
奈良県,90.0,91.0,439.104,0.011
滋賀県,98.0,99.0,477.921,0.010
大阪府,1765.0,1780.0,573.345,0.008
群馬県,147.0,148.0,715.672,0.007
広島県,165.0,166.0,803.009,0.006
愛知県,503.0,506.0,815.947,0.006
青森県,27.0,27.0,1000,0.000
岩手県,0.0,0.0,1000,0
宮城県,88.0,88.0,1000,0.000
秋田県,16.0,16.0,1000,0.000
山形県,69.0,69.0,1000,0.000
福島県,81.0,81.0,1000,0.000
茨城県,168.0,168.0,1000,0.000
新潟県,83.0,83.0,1000,0.000
福井県,122.0,122.0,1000,0.000
長野県,76.0,76.0,1000,0.000
岐阜県,150.0,150.0,1000,0.000
三重県,45.0,45.0,1000,0.000
京都府,358.0,358.0,1000,0.000
和歌山県,63.0,63.0,1000,0.000
鳥取県,3.0,3.0,1000,0.000
島根県,24.0,24.0,1000,0.000
岡山県,25.0,25.0,1000,0.000
山口県,37.0,37.0,1000,0.000
徳島県,5.0,5.0,1000,0.000
香川県,28.0,28.0,1000,0.000
高知県,74.0,74.0,1000,0.000
長崎県,17.0,17.0,1000,0.000
熊本県,48.0,48.0,1000,0.000
大分県,60.0,60.0,1000,0.000
宮崎県,17.0,17.0,1000,0.000
鹿児島県,10.0,10.0,1000,0.000
沖縄県,142.0,142.0,1000,0.000
福岡県,657.0,658.0,3190.209,0.002
兵庫県,698.0,699.0,3389.143,0.001
