20200519 04:30:20 JST
都道府県,2020/05/12,2020/05/19,Td,K
愛媛県,48.0,71.0,12.394,0.324
神奈川県,1150.0,1251.0,57.638,0.081
栃木県,56.0,60.0,70.327,0.067
北海道,945.0,1006.0,77.567,0.061
佐賀県,45.0,47.0,111.579,0.043
富山県,216.0,225.0,118.858,0.040
岡山県,24.0,25.0,118.858,0.040
東京都,4868.0,5055.0,128.719,0.037
全国,15481.0,15983.0,152.043,0.031
石川県,278.0,287.0,152.287,0.031
京都府,347.0,358.0,155.473,0.031
長野県,74.0,76.0,181.940,0.026
埼玉県,967.0,988.0,225.842,0.021
滋賀県,97.0,99.0,237.741,0.020
千葉県,880.0,898.0,239.628,0.020
愛知県,494.0,504.0,242.108,0.020
山梨県,56.0,57.0,274.133,0.018
和歌山県,62.0,63.0,303.245,0.016
兵庫県,688.0,699.0,305.892,0.016
大阪府,1743.0,1768.0,340.704,0.014
新潟県,82.0,83.0,400.288,0.012
青森県,27.0,27.0,1000,0.000
岩手県,0.0,0.0,1000,0
宮城県,88.0,88.0,1000,0.000
秋田県,16.0,16.0,1000,0.000
山形県,69.0,69.0,1000,0.000
福島県,81.0,81.0,1000,0.000
茨城県,168.0,168.0,1000,0.000
群馬県,147.0,147.0,1000,0.000
福井県,122.0,122.0,1000,0.000
岐阜県,150.0,150.0,1000,0.000
静岡県,73.0,73.0,1000,0.000
三重県,45.0,45.0,1000,0.000
奈良県,90.0,90.0,1000,0.000
鳥取県,3.0,3.0,1000,0.000
島根県,24.0,24.0,1000,0.000
広島県,165.0,165.0,1000,0.000
山口県,37.0,37.0,1000,0.000
徳島県,5.0,5.0,1000,0.000
香川県,28.0,28.0,1000,0.000
高知県,74.0,74.0,1000,0.000
長崎県,17.0,17.0,1000,0.000
熊本県,48.0,48.0,1000,0.000
大分県,60.0,60.0,1000,0.000
宮崎県,17.0,17.0,1000,0.000
鹿児島県,11.0,10.0,1000,-0.100
沖縄県,142.0,142.0,1000,0.000
福岡県,654.0,657.0,1060.167,0.005
