20200429 06:23:17 JST
都道府県,2020/04/22,2020/04/29,Td
佐賀県,17.0,36.0,6.467
徳島県,3.0,5.0,9.498
富山県,114.0,181.0,10.495
北海道,451.0,650.0,13.275
島根県,16.0,22.0,15.236
石川県,180.0,236.0,17.912
滋賀県,72.0,94.0,18.198
和歌山県,46.0,59.0,19.494
長野県,52.0,66.0,20.352
埼玉県,662.0,823.0,22.289
東京都,3197.0,3961.0,22.643
新潟県,56.0,69.0,23.243
静岡県,52.0,64.0,23.368
奈良県,64.0,78.0,24.527
全国,10973.0,13274.0,25.487
神奈川県,802.0,965.0,26.224
兵庫県,524.0,629.0,26.566
京都府,259.0,309.0,27.488
群馬県,124.0,146.0,29.708
愛知県,406.0,477.0,30.106
大阪府,1297.0,1523.0,30.207
福岡県,524.0,615.0,30.300
千葉県,683.0,793.0,32.492
岡山県,19.0,22.0,33.096
三重県,39.0,45.0,33.906
沖縄県,121.0,137.0,39.069
茨城県,143.0,161.0,40.925
熊本県,40.0,45.0,41.195
栃木県,49.0,54.0,49.937
大分県,55.0,60.0,55.763
福島県,64.0,69.0,64.502
香川県,26.0,28.0,65.472
福井県,113.0,121.0,70.933
山口県,30.0,32.0,75.180
広島県,137.0,145.0,85.494
高知県,69.0,73.0,86.101
岐阜県,139.0,146.0,98.754
青森県,22.0,23.0,109.153
山梨県,49.0,51.0,121.285
山形県,64.0,66.0,157.679
宮城県,84.0,86.0,206.202
愛媛県,46.0,47.0,225.611
