20200520 09:08:58 JST
都道府県,2020/05/13,2020/05/20,Td,K
愛媛県,48.0,73.0,11.573,0.342
神奈川県,1178.0,1276.0,60.717,0.077
栃木県,56.0,60.0,70.327,0.067
北海道,954.0,1014.0,79.549,0.059
佐賀県,45.0,47.0,111.579,0.043
岡山県,24.0,25.0,118.858,0.040
東京都,4883.0,5065.0,132.590,0.036
全国,15557.0,16043.0,157.728,0.030
富山県,221.0,227.0,181.132,0.026
石川県,280.0,287.0,196.497,0.024
愛知県,494.0,506.0,202.158,0.024
埼玉県,969.0,991.0,216.127,0.022
滋賀県,97.0,99.0,237.741,0.020
千葉県,883.0,900.0,254.438,0.019
山梨県,56.0,57.0,274.133,0.018
京都府,352.0,358.0,287.072,0.017
和歌山県,62.0,63.0,303.245,0.016
大阪府,1744.0,1771.0,315.825,0.015
長野県,75.0,76.0,366.323,0.013
新潟県,82.0,83.0,400.288,0.012
兵庫県,693.0,700.0,482.773,0.010
福岡県,654.0,658.0,795.730,0.006
広島県,165.0,166.0,803.009,0.006
青森県,27.0,27.0,1000,0.000
岩手県,0.0,0.0,1000,0
宮城県,88.0,88.0,1000,0.000
秋田県,16.0,16.0,1000,0.000
山形県,69.0,69.0,1000,0.000
福島県,81.0,81.0,1000,0.000
茨城県,168.0,168.0,1000,0.000
群馬県,147.0,147.0,1000,0.000
福井県,122.0,122.0,1000,0.000
岐阜県,150.0,150.0,1000,0.000
静岡県,73.0,73.0,1000,0.000
三重県,45.0,45.0,1000,0.000
奈良県,90.0,90.0,1000,0.000
鳥取県,3.0,3.0,1000,0.000
島根県,24.0,24.0,1000,0.000
山口県,37.0,37.0,1000,0.000
徳島県,5.0,5.0,1000,0.000
香川県,28.0,28.0,1000,0.000
高知県,74.0,74.0,1000,0.000
長崎県,17.0,17.0,1000,0.000
熊本県,48.0,48.0,1000,0.000
大分県,60.0,60.0,1000,0.000
宮崎県,17.0,17.0,1000,0.000
鹿児島県,11.0,10.0,1000,-0.100
沖縄県,142.0,142.0,1000,0.000
