"日付け","終値","始値","高値","安値","出来高","変化率 %"
"2021年12月30日","19,205.0","19,165.0","19,220.0","19,145.0","60.19K","-0.31%"
"2021年12月29日","19,265.0","19,230.0","19,265.0","19,180.0","97.34K","0.00%"
"2021年12月28日","19,265.0","19,255.0","19,270.0","19,230.0","136.27K","1.72%"
"2021年12月27日","18,940.0","18,945.0","18,960.0","18,920.0","56.37K","0.53%"
"2021年12月24日","18,840.0","18,900.0","18,900.0","18,810.0","62.60K","0.64%"
"2021年12月23日","18,720.0","18,735.0","18,740.0","18,700.0","68.10K","1.41%"
"2021年12月22日","18,460.0","18,455.0","18,485.0","18,425.0","149.26K","1.29%"
"2021年12月21日","18,225.0","18,130.0","18,230.0","18,070.0","124.45K","1.70%"
"2021年12月20日","17,920.0","18,100.0","18,130.0","17,910.0","123.42K","-1.75%"
"2021年12月17日","18,240.0","18,290.0","18,355.0","18,155.0","191.24K","-3.67%"
"2021年12月16日","18,935.0","18,880.0","18,945.0","18,830.0","111.56K","2.88%"
"2021年12月15日","18,405.0","18,370.0","18,420.0","18,325.0","116.28K","-0.75%"
"2021年12月14日","18,545.0","18,560.0","18,570.0","18,505.0","115.17K","-1.67%"
"2021年12月13日","18,860.0","18,840.0","18,890.0","18,825.0","75.89K","1.53%"
"2021年12月10日","18,575.0","18,600.0","18,645.0","18,555.0","83.69K","-1.54%"
"2021年12月09日","18,865.0","18,890.0","18,940.0","18,845.0","66.70K","-0.11%"
"2021年12月08日","18,885.0","18,820.0","18,885.0","18,770.0","152.89K","2.50%"
"2021年12月07日","18,425.0","18,230.0","18,425.0","18,205.0","89.44K","1.96%"
"2021年12月06日","18,070.0","18,035.0","18,075.0","17,930.0","115.82K","-1.55%"
"2021年12月03日","18,355.0","18,265.0","18,375.0","18,170.0","181.23K","0.30%"
"2021年12月02日","18,300.0","18,225.0","18,315.0","18,200.0","140.72K","-2.79%"
"2021年12月01日","18,825.0","18,630.0","18,845.0","18,560.0","150.08K","0.67%"
"2021年11月30日","18,700.0","18,955.0","18,970.0","18,675.0","295.49K","0.51%"
"2021年11月29日","18,605.0","18,620.0","18,715.0","18,605.0","203.90K","-1.61%"
"2021年11月26日","18,910.0","19,090.0","19,090.0","18,890.0","169.85K","-1.46%"
"2021年11月25日","19,190.0","19,130.0","19,190.0","19,110.0","71.43K","0.95%"
"2021年11月24日","19,010.0","19,000.0","19,040.0","18,940.0","110.29K","-1.09%"
"2021年11月22日","19,220.0","19,180.0","19,240.0","19,160.0","66.27K","0.10%"
"2021年11月19日","19,200.0","19,090.0","19,220.0","19,090.0","83.81K","1.59%"
"2021年11月18日","18,900.0","18,880.0","18,930.0","18,840.0","64.40K","-0.47%"
"2021年11月17日","18,990.0","18,990.0","18,990.0","18,950.0","61.84K","1.50%"
